Item Code,Quantity,Price,Rate,Product,Unit
1101001,"44,591","548,590,299",12302.71353,Anthracite (raw coal),T
1101002,"1,487,376","7,763,476,546",5219.579008,Coal,T
1101003,"5,127,945","15,493,170,501",3021.321504,Coal (under sized),T
1101004,"1,753,650","1,486,271,507",847.5302979,Coal ash,T
1101005,"7,222,049","16,911,648,455",2341.669027,Coal compressed (middlings),T
1101006,"924,650","4,087,019,413",4420.071825,Coal for carbonisation,T
1101007,"580,643","985,045,369",1696.473339,Coal slack,T
1101099,"36,666","125,473,935",3422.078629,"Coal, not agglomerated, n.e.c.",T
1102001,"687,476,038","2,276,997,760",3.312112182,"Briquettes, coal, coal dust",T
1102099,"351,368","815,031,412",2319.594875,"Briquettes and similar solid fuels manufactured from coal, n.e.c.",T
1201000,"7,059,576","425,078,548,812",60213.04237,"Petroleum oils and oils obtained from bituminous minerals, crude",T
1202001,"3,408,953,295","43,109,399,706",12.64593439,Fryon gas,T
1202002,"93,691,836","68,607,195,944",732.2643986,Gas compressed natural,T
1202003,"3,706,744,047","146,640,449,540",39.56044649,Gas liquidfied petrolium,T
1202004,"604,968,885","36,298,133,082",59.99999997,"Gas, natural",T
1202099,"9,460,492,976","378,061,962,064",39.96218411,Gas n.e.c,T
1203003,"11,239","75,485,239",6716.366136,Shale oil,T
1203099,"17,058","914,336,975",53601.65172,Bituminous or oil shale and tar sands n.e.c,LITRES
1300002,166,"29,885,452",180032.8434,Thorium others,T
1410001,"338,819","1,352,047,864",3990.472388,"Iron ores, Hematite",T
1410003,"15,168","105,482,649",6954.288568,"Iron ore, Magnetite",T
1410099,"5,441,138","46,453,327,717",8537.428699,Iron ores n.e.c,T
1421000,"1,319","3,271,269,423",2480113.285,"Copper, ores and concentrates",T
1422000,"1,870","939,423,761",502365.6476,Nickel ores and concentrates,T
1423001,"396,772","7,556,497,511",19044.93641,Bauxite calcined,T
1423002,118,"84,017,767",712014.9746,Bauxite raw,T
1423003,"3,490","40,443,611",11588.42722,Sillimanite,T
1423099,"1,416,914","3,783,383,426",2670.157417,Aluminium ores and concentrates n.e.c,T
1424004,"7,918,323","23,967,201,993",3026.80277,Gold mineral (ore),T
1424006,"62,141","3,620,886,343",58268.87792,Silver mineral,T
1424007,"9,673","859,597,840",88865.69213,Zirconion silicate,T
1429001,30,"3,910,025",130334.1667,Chrome lead,T
1429002,"1,827","413,701,875",226437.8079,"Chrome(ore), Chromite",T
1429003,11,"3,701,754",336523.0909,Concentrate zinc,Kg
1429004,"9,651","105,418,849",10923.10113,Kyanite calcined,T
1429005,"29,045","402,527,565",13858.7559,Lead ores and concentrates,T
1429009,99,"51,434,374",519539.1313,"Ores,vandadium",T
1429099,"97,028","8,142,225,591",83916.24676,Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),T
1511001,"450,000","1,296,472",2.881048889,Slate powder,T
1511099,"5,748,163","277,203,893",48.22477946,Slate n.e.c,T
1512001,"45,254","45,387,671",1002.953794,Marble ballast,T
1512002,"91,626","343,587,467",3749.890501,Marble block,T
1512003,"19,995","8,272,692",413.7380345,Marble chip,T
1512004,"100,800","587,779,153",5831.142391,Marble powder,T
1512005,"8,352,877","8,265,438,749",989.5319599,Marble slab (unpolished),T
1512099,"1,410,019","1,426,233,375",1011.499402,Marble and other calcareous monumental or building stone; n.e.c,T
1513001,"2,217,146","12,249,483,194",5524.887939,Granite,T
1513003,"23,684","558,360,177",23575.41703,Mica,T
1513004,"6,771","159,172,854",23508.02747,Orthoclase felspar,T
1513005,"24,752","55,976,292",2261.485617,Quartz,T
1513006,"37,379","76,485,011",2046.202707,Quartz ground,T
1513007,"213,893","6,476,278,515",30278.12278,Silica,T
1513099,"924,570","14,399,938,371",15574.74109,"Granite, sandstone and other monumental or building stone ; n.e.c",T
1520003,"1,928,019","641,214,514",332.5768646,Grit,T
1520004,"48,577,863","1,639,712,789",33.75432116,Gypsum,T
1520005,"80,072","30,849,847",385.2763388,Gypsum marine,T
1520006,"165,309","483,565,365",2925.221041,Lime,T
1520007,"10,722","4,825,088",450.017534,Lime anbuz,T
1520008,"214,376","590,471,389",2754.37264,Lime powder,T
1520099,"178,050","374,945,277",2105.842612,"Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the",T
1531001,"1,760,629","2,725,958,829",1548.286907,Sand rutile,T
1531099,"92,475","131,911,879",1426.459897,Natural sands; n.e.c,T
1532001,"1,272","413,840,763",325346.5118,Sinter,T
1532002,128,"346,891,656",2710091.063,Sinter powder,T
1532003,"1,106,198","853,008,191",771.1170975,Stone boulder,T
1532004,"13,014","184,507,782",14177.63808,Stone braved,T
1532005,"7,574,378","6,460,033,885",852.8797856,Stone chip,T
1532006,"12,822,647","4,940,275,276",385.277336,Stone crushed,T
1532007,"2,754,003","2,235,247,448",811.6358072,Stone dust/powder,T
1532008,"326,079","319,581,766",980.0746629,Stone lumps,T
1532009,"59,028","117,735,308",1994.567121,Stone pebbles,T
1532010,"35,190","35,654,641",1013.203779,Stone stand,T
1532011,"494,762","80,544,496",162.7944264,"Stone,cudappa",T
1532099,"1,380,215","710,827,303",515.0120112,"Pebbles, gravel, broken or crushed stone, macadam; granules, chippings and powder of stone n.e.c.",T
1533003,"3,330,454","120,591,840,396",36208.82931,Bitumen,T
1533004,"9,632","384,455,489",39914.39877,"Bitumen, blown",T
1533005,"2,432","82,210,089",33803.49054,"Bitumen, h.g.",T
1533099,"2,572,008","25,498,397,549",9913.80958,"Bitumen and asphalt, natural; asphaltites and asphaltic rock; n.e.c",T
1540001,"810,327","2,018,928,270",2491.49821,"Clay,  powder",T
1540003,326,"753,961",2312.763804,"Clay, ball",T
1540004,"7,870","179,689,889",22832.26036,"Clay, bentonite",T
1540005,"17,192","52,633,725",3061.524255,"Clay, black",T
1540006,"291,885","3,803,490,839",13030.78555,"Clay, china",KG
1540007,476,"958,286",2013.205882,"Clay, common",KG
1540008,368,"2,463,203",6693.486413,"Clay, earthen",KG
1540009,"14,118","50,662,222",3588.484346,"Clay, fire",KG
1540015,"353,008","329,095,101",932.2596117,"Clay, silica",T
1540017,465,"5,793,366",12458.85161,"Clay,plastic",T
1540099,"245,380","489,456,134",1994.68634,Clays; n.e.c,T
1611001,"310,970","45,233,057,798",145457.9471,Aluminium natural,KG
1611002,"76,474","2,371,745,913",31013.75517,"Calcium phosphates, natural",KG
1611003,"30,355","1,282,300",42.24345248,Phosphatic chalk,T
1611099,"580,744","9,903,011,676",17052.2841,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk; n.e.c",T
1612000,"27,366","540,624,302",19755.32785,Unroasted iron pyrites,T
1619001,"5,319,937","317,965,542",59.76866681,Mineral white oil,T
1619099,"6,082,941","2,896,249,237",476.1264719,Other chemical minerals ;n.e.c,T
1620001,"5,056,992","6,154,128,083",1216.954285,Salt common,T
