,codes,activities,units
0,f26ef0f9d8b0a594a75eb394dd3f3565,market for hard coal,kilogram
1,bfcd07940a319765aec1555ad12643f8,market for diesel,kilogram
2,b71e98260226286f15b5477b39a6d716,market for waste polystyrene,kilogram
3,b9c2b629a5acbdc5565421ab6ea09dec,market for tetrafluoroethylene,kilogram
4,a890f0e95d274ba1dc3d4beedc4be0cd,market for ethanol fermentation plant,unit
5,f31b0e2ce9edb685b11b1f5c41cb226b,market for styrene,kilogram
6,26822caa5afb16a5003cebd655562926,"market for iron(III) sulfate, without water, in 12.5% iron solution state",kilogram
7,0c99965759a56171ae24aed8a6de56bf,"market for electricity, medium voltage, aluminium industry",kilowatt hour
8,cb8e707f5dd3c61a54934fb6edad7490,market for decommissioned chemical production facilities,kilogram
9,ca63ac3674f25b00d9e6e19d9a275876,market for feldspar,kilogram
10,c70f78a48d93559312af2db6595674d0,market for waste glass,kilogram
11,a1b6b5699b6935cd813942aea4bd6ea1,"market for electricity, medium voltage",kilowatt hour
12,8a4732fbf32fd964541bd4341569bba3,"market for packaging, for fertilisers or pesticides",kilogram
13,0745eb912080979edbca6e7c6a27258c,market for ethylenediamine,kilogram
14,e0f8b5c925431dc562505131e43f2a93,"market for electricity, medium voltage",kilowatt hour
15,3530c7bd6ea6791866240e89d94c0b6a,"market for fruit tree seedling, for planting",unit
16,2fe58f0f8350b5008349cb80f91a71a4,"market for electricity, high voltage",kilowatt hour
17,d9489ad19c927e34079faa9fbecca9a4,"market for hydrochloric acid, without water, in 30% solution state",kilogram
18,11b5d60cfbb89ba637aa465dc38add18,"heat production, hardwood chips from forest, at furnace 50kW",megajoule
19,b8b72b774b12fdc5e353b9f03c27973d,"market for electricity, medium voltage",kilowatt hour
20,6e87fc827569f13e32dbd98287c3846f,"market for ethylene, average",kilogram
21,d5b7c05e599bf32403f5a05574815bc8,market for hard coal,kilogram
22,02a397f992ace13c52e2d5e8a824516f,market for used printed wiring boards,kilogram
23,535eb6241282b33614e155e710296266,"market for zircon, 50% zirconium",kilogram
24,64ebe03336aded5c4c405a06a94072e5,market for manganese dioxide,kilogram
25,bf03965205e08adc44e185b04886bf70,market for copper sulfate,kilogram
26,bcbc0adf86727bfc432d24a7f8be7835,"market for ferrochromium, high-carbon, 68% Cr",kilogram
27,46e4e1c963fd7cb8c8dd4e0addf79529,market for ammonium chloride,kilogram
28,1c55712379e5f46b4c997abe7adf911e,market for white spirit,kilogram
29,5fa905f398aa3a08783c2c3080abef2d,market for irrigation,cubic meter
30,2ab3dc330505f903963e25ff3d051ed7,"market for waste paint, collection for hazardous waste incineration",kilogram
31,11770a62fac06e154feed6e6ecad0e97,"market for electricity, medium voltage",kilowatt hour
32,70d67baf03cc51ddcee674809b712871,"market for sheet rolling, copper",kilogram
33,f6dadc71eee93132b732eb382908007b,"market for electricity, medium voltage",kilowatt hour
34,68d1962b9f9799fe99fff1c822f37bfc,"market for electricity, high voltage",kilowatt hour
35,82616e4b3b11d10e667f77be1ebbe08e,"market for sludge, pig iron production",kilogram
36,8de852a2e45b55b1485005a8d22207a6,"market for compressed air, 700 kPa gauge",cubic meter
37,438f061b471d261c4d589e1f16d8ebb5,"market for electricity, high voltage",kilowatt hour
38,06d68996153517e6d9c275a45fb8415a,"market group for heat, central or small-scale, natural gas",megajoule
39,4b3c32a06381134df856e35acf3e3a31,market for platinum,kilogram
40,75ccb7c18c795e7168203d8151a955cd,"market group for heat, district or industrial, other than natural gas",megajoule
41,18b324dfe0b471b64650bc02a7ed4312,"market for zinc coat, coils",square meter
42,d09b86b053bfee24893a8fd8f580eaf3,"market for cable, ribbon cable, 20-pin, with plugs",kilogram
43,a44d802c3a055a10d1ab5107f53f4e68,"market for integrated circuit, memory type",kilogram
44,f2c3950c699292a7e208aab237b71361,"market for electricity, high voltage",kilowatt hour
45,6992a03a407bf1aac42811fd4cd35b29,"market for sodium silicate, solid",kilogram
46,df10c8e7d027c15115602106f4b4dad5,"market group for electricity, low voltage",kilowatt hour
47,cf1eb43449b938ee7142cf554a481f4c,market for potassium hydroxide,kilogram
48,18d0b412dc2731817077a3d8a5be53a6,market for sugar refinery,unit
49,862553310bb68e1e2514f95f309c232c,"market for aluminium scrap, post-consumer",kilogram
50,58cbdb64c00bdf26245e0ce64a7fb678,"market for waste bulk iron, excluding reinforcement",kilogram
51,a3aa15a09c5ab969b8fd663a1c1bb1c6,market for acetic anhydride,kilogram
52,ec43c137e485e3041537ed576f30b460,"market for electricity, medium voltage",kilowatt hour
53,7ea8ab69d2e450bb394eef86fa250feb,market for sludge from steel rolling,kilogram
54,73755d76796b5973edb5460525464d25,market for lubricating oil,kilogram
55,3dd9209ec3385bdb49791ffc3e63a0ac,"market for natural gas, low pressure",cubic meter
56,55c0ce1e8dc075cd45f833429d599dae,"market for furnace, wood chips, with silo, 5000kW",unit
57,10c5f6348dbef711b6ee89ace6308ad1,market for benzene,kilogram
58,8ed4600a49a79d3f4ff5c96718717d81,"market for electricity, medium voltage",kilowatt hour
59,beb8c5550b59b3daf03bbabe3195b252,"market for slag, unalloyed electric arc furnace steel",kilogram
60,cedc1e3baa442b21090333fd89dd2b33,market for lignite briquettes,megajoule
61,e983874f8b80a34007018e112de6b000,"market for electricity, medium voltage",kilowatt hour
62,8d5f903161a6ee3ac053f8c7dbe4eac3,market for propylene,kilogram
63,523158a1de8bac7a128e27410a2b305d,"market for propane, burned in building machine",megajoule
64,072b42124a1c371931d3b51f56cf89cf,market for silicon carbide,kilogram
65,83a1630b7be08f60cf67161e6936128c,market for methyl ethyl ketone,kilogram
66,c5e10e206859c1083b725ae475921db2,market for packaging box factory,unit
67,5f103b0844f67f48183a8eea1bf704ae,"market for electricity, medium voltage",kilowatt hour
68,32de76a1ac354f95b07c70abfd43efab,"heat production, heavy fuel oil, at industrial furnace 1MW",megajoule
69,5fa49b9f8bf1be489246a1debdbcaf8b,"market for ethanol, without water, in 99.7% solution state, from ethylene",kilogram
70,e1de6205c74dae2c00ad03b5db5767f5,"market for capacitor, electrolyte type, > 2cm height",kilogram
71,f568b0e01334bb3f64b668bb25cc17c9,market for hard coal,kilogram
72,8181541ceba792bfc7416f3c63b5e2d1,"market group for electricity, medium voltage",kilowatt hour
73,9ba7500086c265c897ba91e988bf220c,market for waste preparation facility,unit
74,17055751ed30561f3ba44782ce7449ec,"market for DTPA, diethylenetriaminepentaacetic acid",kilogram
75,246435ed76a5d4b8c3d9735133576156,"market for oxygen, liquid",kilogram
76,20cac036ff07351e633a019e93b98201,market for 2-butanol,kilogram
77,352126625e0498b9ff6b849a74055bd4,market for municipal solid waste,kilogram
78,37c7d6e32d82776d5a423973f81ded3c,"market for electricity, medium voltage",kilowatt hour
79,62fdf5feacfc56115bcd9dd3174cac08,market for scrap preparation facility,unit
80,66ad6ccef5a554e334717aed23f220d7,market for chlorine dioxide,kilogram
