Product,NIC3,NIC3 code,Capital2Sales,codes,Activity Names,Ref Flow Names,location,amounts,Units,NPC_code,NPC_name,NPC_Unit,Conversion Factor
AC drives & Electrical Panels,Manufacture of other electrical equipment,279,1.472301231,a169c23725cd8331377c288c6801b0bd,"electronics production, for control units","electronics, for control units",RoW,1,kilogram,4621299,"Electrical apparatus for switching or protecting electrical circuits, for making connexions to or in",NOS,0.453592
Agarabathi,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,1b77ea93d95ebea906450de98b493246,hard coal briquettes production,hard coal briquettes,RoW,1,megajoule,3533101,Agarbati,TH.NOS,628
Agarabhattis,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,1b77ea93d95ebea906450de98b493246,hard coal briquettes production,hard coal briquettes,RoW,1,megajoule,3533101,Agarbati,TH.NOS,628
Agarbathies,Manufacture of non-metallic mineral products n.e.c.,239,0.740689353,1b77ea93d95ebea906450de98b493246,hard coal briquettes production,hard coal briquettes,RoW,1,megajoule,3533101,Agarbati,TH.NOS,628
Alluminium,Manufacture of basic precious and other non-ferrous metals,242,1.642921293,b416a8347ba3dbf0c8a1101f9efe5d4e,"sheet rolling, aluminium","sheet rolling, aluminium",RoW,1,kilogram,4143102,Aluminium ingots,T,1000
"Alluminium Componenets, Doors, Window Frames",Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,8029be59fefe9bdd5af56c4ab34561e2,"window frame production, aluminium, U=1.6 W/m2K","window frame, aluminium, U=1.6 W/m2K",RoW,1,square meter,4212002,"Doors, windows and their frames and thresholds for doors, of aluminium",T,19.72386588
Alluminium Rolling Mill,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,b416a8347ba3dbf0c8a1101f9efe5d4e,"sheet rolling, aluminium","sheet rolling, aluminium",RoW,1,kilogram,4143199,"Aluminium unwrought, n.e.c.",T,1000
Alluminium Sheets,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,b416a8347ba3dbf0c8a1101f9efe5d4e,"sheet rolling, aluminium","sheet rolling, aluminium",RoW,1,kilogram,4143199,"Aluminium unwrought, n.e.c.",T,1000
Alluminium Utensils,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,c33e3ce64ace10ee4400d428e1e81b0d,"casting, aluminium, lost-wax","casting, aluminium, lost-wax",RoW,1,kilogram,4291204,Non-stick utensils of aluminium,KG,1
Ammonium Molybedunum,Manufacture of other chemical products,202,2.603982374,b8cfc4d3d8c50d265ffacaeb9a9c73ff,ammonium nitrite production,ammonium nitrite,RoW,1,kilogram,3424010,Ammonium molybdate,KG,1
Anodozing & Surface coating,Manufacture of other fabricated metal products; metalworking service activities,259,1.657209305,7985ad8ebcff5f78b82df020df74ae30,"powder coating, steel","powder coat, steel",RoW,1,square meter,3511078,Powder coating materials,T,8818.48
Aromatic Chemical,Manufacture of other chemical products,202,2.603982374,f8cf57fa5d5b7ef6d59e879fb8056086,ethyl acetate production,ethyl acetate,RoW,1,kilogram,3532302,Aromatic chemicals,T,1000
