,codes,activities,units,Totals,Small,Medium,Large,Mysore City
0,e079bc1a542536f8154d5eb43dd64d36,market for scrap copper,kilogram,-122675.18591383711,-122675.18591383711,0.0,0.0,-122675.18591383711
1,1c55712379e5f46b4c997abe7adf911e,market for white spirit,kilogram,5330248295.20459,159169989.18972635,9582.317926453106,5171068723.696936,5320403453.461809
2,fbc5d4f66ca63fc47832691826277d7a,"market for heat, district or industrial, natural gas",megajoule,1978125800.6146348,1949014404.180636,4284521.045510761,24826875.388488237,1949438356.4469674
3,d1693f29bd81ab2644398ba65efedb7c,"market for powder coat, aluminium sheet",square meter,376615.85456197767,376615.85456197767,0.0,0.0,376585.8793750431
4,b2ed3b3926bb5864851323822cb74f11,market for used motor scooter,unit,-457205.9127173196,0.0,0.0,-457205.9127173196,-457205.9127173196
5,ad44eed67d3e16d0e8f67dfd6dee9c7e,"market for electricity, high voltage",kilowatt hour,22.441112115563744,22.441112115563744,0.0,0.0,22.441112115563744
6,e8aeee03ef75b98c2014834586751db8,"market for calcium carbide, technical grade",kilogram,65233.77735886519,65233.77735886519,0.0,0.0,58830.222573517385
7,aec924b089a087eea85d8a7ec70454fc,"market group for electricity, low voltage",kilowatt hour,1894266.0349291181,478854.99744258914,67964.72131130955,1347446.3161752142,1857423.2276269482
8,8b9bcd2df52d03057879fad191a17236,market for vinyl acetate,kilogram,313.44185117629615,279.7682414560451,33.6736097202511,0.0,273.0335195119948
9,e91b09ad5622747f73c136f90f7e815d,"market for electricity, medium voltage",kilowatt hour,96.42051675599247,0.0,96.42051675599247,0.0,0.0
10,c214076cd7f42ea7f47398473f4c14b9,"market for wastewater, unpolluted",cubic meter,-4099937.3500986146,-3401365.1137690092,-698572.2363296053,0.0,-2602615.6534900316
11,015e9aef83f1014882a2a0f9f96ac17e,market for waste polyethylene terephtalate,kilogram,-0.10058639399856888,-0.10058639399856888,0.0,0.0,-0.10058639399856888
12,961e1a5a6b33189c05aec22da0879600,market for inert waste,kilogram,-61.896938739214356,-61.896938739214356,0.0,0.0,-61.8061139228026
13,eab43ddf1f54a559f83b6b2edaa7940a,"market for dust collector, electrostatic precipitator, for industrial use",unit,0.0002460195930543284,0.0002460195930543284,0.0,0.0,0.0002460195930543284
14,f127c672f6d698cf7385808f410efc52,"market for anode, for metal electrolysis",kilogram,1683.0204176952884,0.0,1683.0204176952884,0.0,1683.0204176952884
15,b8b72b774b12fdc5e353b9f03c27973d,"market for electricity, medium voltage",kilowatt hour,364409.8959113612,66481.53348255031,0.0,297928.36242881085,54885.24144782666
16,c36d916cb527e86cabf40f3fc564c826,market for tetrafluoroethane,kilogram,667.6591610736518,667.6591610736518,0.0,0.0,667.6591610736518
17,b71e98260226286f15b5477b39a6d716,market for waste polystyrene,kilogram,-1248.7089880733365,-1248.7089880733365,0.0,0.0,0.0
18,2607ec42bfedec2df35733f7d770b8a1,"market for chlorine, gaseous",kilogram,2385666.464097116,2385666.464097116,0.0,0.0,2141760.505051001
19,29a788950ad2d036c290069a5a67beca,market for blister-copper conversion facility,unit,2.242080398540234e-06,2.242080398540234e-06,0.0,0.0,2.242080398540234e-06
20,1c1d7955ff9c7b8ebef30acaf1952c72,"market group for heat, district or industrial, other than natural gas",megajoule,21138133.700303487,444121.1251235809,0.0,20694012.575179905,21126980.83581067
21,d18e8452573ef141e7453b08204ba634,market for phenolic resin,kilogram,1225649.610260894,220185.4388787451,563481.1012839142,441983.0700982353,870976.7337586535
22,a937f1ef1155dff68ab809f359b08cac,"market for cable, network cable, category 5, without plugs",meter,28633.335868613496,28633.335868613496,0.0,0.0,17629.302616044526
23,e2a0f9a5c8e27df152aecf671ce27175,"market for electricity, medium voltage",kilowatt hour,1808450.5585085258,329926.73279725015,0.0,1478523.8257112755,272378.01899414015
24,62fdf5feacfc56115bcd9dd3174cac08,market for scrap preparation facility,unit,0.0062487210214096645,0.0062487210214096645,0.0,0.0,0.0061023337562366355
25,69b912f527f88517a8d43feb15f439a2,market for waste paint on metal,kilogram,-186.17649397763935,-186.17649397763935,0.0,0.0,-186.17649397763935
26,72b3fc81df1e033f7145a3ed589f3acd,"market for paper, woodfree, coated",kilogram,102574570.96363354,10888446.700821353,4367023.579596661,87319100.68321553,101867401.86205913
27,44e32fc9c8c60cdd3c5cb190fcb95cf8,"market for hazardous waste, for incineration",kilogram,-680290.1792236334,-124125.90109650194,-308984.2081860858,-247180.06994104543,-481249.36515602807
28,a727deb09cddfbccbce19fda5f9e0c5c,"market for printed wiring board, through-hole mounted, unspecified, Pb free",kilogram,1263.9941059117668,1263.9941059117668,0.0,0.0,778.230475843407
29,e5fb74581093181fe8793f0bdfb368f8,market for ceramic factory,unit,0.011307730475548691,0.011307730475548691,0.0,0.0,0.0009652940649858639
30,e8eef1856085c8663451a6e3ba0a48bf,"market for electricity, medium voltage, aluminium industry",kilowatt hour,17772761.742286824,17772761.742286824,0.0,0.0,13659093.247878572
31,6e30abb84525fa499be6aa221bd7f57f,"market for electricity, medium voltage",kilowatt hour,287.54722224026483,0.0,287.54722224026483,0.0,0.0
32,6d88c17d240bd383f1bdd4be99dc65eb,market for ethylene dichloride,kilogram,29357.067417420683,29357.067417420683,0.0,0.0,26475.284433883942
33,0cb343f26fa0a570d556aa7e407266d5,"market for electrolyte, KOH, LiOH additive",kilogram,20957.606928376677,20957.606928376677,0.0,0.0,15653.495031136172
34,4e2a9b186ca409a3f35282ec07726a15,"market for industrial machine, heavy, unspecified",kilogram,22269.869964429894,7858.762970308363,684.900100972714,13724.8739675109,16079.584855774518
35,2b801a5a604d74125cd6a4d0a6819c02,"market for electricity, low voltage",kilowatt hour,120338.1881408381,30420.51206740001,4317.636102473899,85600.03997096453,117997.65275931764
36,34f9800d53ea6eeff8ac053eed3d908f,"market for electricity, medium voltage",kilowatt hour,67.20812126340323,0.0,67.20812126340323,0.0,0.0
37,c93fbace4f8a933b943a783fe33464b7,market for coal slurry,kilogram,-43453.23854615871,-43453.23854615871,0.0,0.0,-37517.141448389
38,6d656e138e0bda92b92375bf00aa749f,"market for nitrogen fertiliser, as N",kilogram,381591.5647783526,53312.09538038049,74608.861339874,253670.608058098,325532.9862079656
39,16a12a476d4fa5ea8e9d2aa5de31b2ee,market for methylamine,kilogram,4378.007867824935,4378.007867824935,0.0,0.0,3948.2487098035454
40,4207a3fd0d07ed0f243913f1eb0b17c7,"market for cement, Portland",kilogram,37251.756145211104,37251.756145211104,0.0,0.0,28629.495978895706
41,78350e01244b7c603c57788369771f93,market for ethoxylated alcohol (AE7),kilogram,18851.33458265012,12959.733769832355,1138.9542320611056,4752.64658075666,17097.565057110893
42,8f5872583a8a6db77596172b941a127c,"paper production, woodfree, coated, at non-integrated mill",kilogram,6999.647470605097,6999.647470605097,0.0,0.0,6999.647470605097
43,1bc0f81984b994dfe616340b00464292,market for acetylene,kilogram,6458.440732456789,6458.440732456789,0.0,0.0,5824.951800618081
44,39a8cebfd035d9b6050bc33f67231034,"treatment of waste cooking oil, purified, esterification",kilogram,215692.6173337219,215692.6173337219,0.0,0.0,215692.6173337219
45,f508719cba29bd92eaa05d7e8423aa71,market for barite,kilogram,1571.774536101268,1571.774536101268,0.0,0.0,134.17587503303506
46,42bb363b9d648d80ecb46cfd82b96b2a,market for waste mineral oil,kilogram,-1169.1639599569733,-1167.3739654238395,0.0,-1.7899945331338878,-1161.5810951934307
47,62e1ce20b2e357a7589fa83c3bf803a7,"market for cement, unspecified",kilogram,6494607.6824053675,64427.06985783118,0.0,6430180.612547535,6494607.6824053675
48,2ab3dc330505f903963e25ff3d051ed7,"market for waste paint, collection for hazardous waste incineration",kilogram,-30308.191548476985,-13862.446997179595,-16445.744551297386,0.0,-10573.298086920116
49,5ad3fb2cbe80a918f333aff5a905cfe8,"market for tillage, rolling",hectare,4.706695275616756,4.706695275616756,0.0,0.0,4.706695275616756
50,c5199723e7104a11950d8881aa917908,"market for zinc coat, pieces",square meter,34726599.499143474,175232.3003100028,0.0,34551367.198833466,34726595.803672984
51,e4f7fdf7f44be419bb26359d38139122,"market for steam, in chemical industry",kilogram,565186783.0113592,150372210.69591308,19563.951368996615,414795008.36407715,401607762.66739714
52,c6d5b7ed36ef2c2d3924736a8be3af45,"market for polyethylene, high density, granulate",kilogram,52515125.56271053,4442875.18660596,8285021.209010126,39787229.167094454,51812735.938493066
53,494565a414fb7c6f4fa81fab8781bd04,market for glyphosate,kilogram,349.332339148521,39.514375595977086,0.0,309.81796355254386,39.51293222487287
54,9c266f7fe439da8f4646151434235457,"market for electric connector, wire clamp",kilogram,472.9958288156578,472.9958288156578,0.0,0.0,0.0
55,c5e10e206859c1083b725ae475921db2,market for packaging box factory,unit,3.2966223662903165,0.38738700190293474,0.0006099553636089884,2.908625409023773,0.26888922776703755
56,40bc7f444be337f6ee6c42e0d1c16106,market for strawberry,kilogram,9075258.814580932,67939.07289097868,0.0,9007319.741689954,9075258.814580932
57,5292e746fe46492e274ab47683465990,"market for electricity, medium voltage",kilowatt hour,974481.7215863892,177780.6802961714,0.0,796701.0412902173,146770.61511186924
58,8be0c59633edf7f6fcb4888e335ea726,"market for lime, packed",kilogram,12322237.715148859,1620893.5084524786,2913747.402908261,7787596.803788122,11882449.887922127
59,c1a99630272a230020c35f7bb22a5b49,"market for polycarboxylates, 40% active substance",kilogram,94182.63740507058,2248.200027542499,0.0,91934.43737752808,89850.25440690864
60,d26628e2c8b1af23fa51c3e1547862e3,market for waste paint,kilogram,-23088.369917813015,-1225.095050026915,0.0,-21863.274867786102,-4753.089469172676
